yyyy/mm/dd	hh:mm	G(0)	G(41)	D(0)	B	Wvel	Wdir	Tamb	GiNuk	-	VMIso	GMBP	GMIso	GiEsti	TcEsti	GIzFr	GIzPos	-	-	-	-
2019/04/02	23:59	0.00	0.00	0.00	0.00	0.00	-0.19	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	1.95	1.82	-	-	-	-
2019/04/03	00:00	0.00	0.00	0.00	0.00	0.00	0.26	-37.50	0.00	-	0.00	0.00	1.21	0.00	-	0.00	1.13	-	-	-	-
2019/04/03	00:01	0.00	0.00	0.00	0.00	0.00	0.07	-37.50	0.00	-	0.00	6.65	0.27	0.00	-	0.10	4.38	-	-	-	-
2019/04/03	00:02	0.00	0.00	0.00	0.00	0.00	-0.41	-37.50	0.00	-	0.00	0.00	0.88	0.00	-	1.17	6.44	-	-	-	-
2019/04/03	00:03	0.00	0.00	0.00	0.00	0.00	-0.25	-37.50	0.00	-	0.00	6.73	2.86	2.15	-	0.45	3.81	-	-	-	-
2019/04/03	00:04	0.00	0.00	0.00	0.00	0.00	0.11	-37.50	0.00	-	0.00	0.00	0.00	0.20	-	0.00	0.00	-	-	-	-
2019/04/03	00:05	0.00	0.00	0.00	0.01	0.00	-0.01	-37.50	0.00	-	0.00	5.53	0.00	3.81	-	0.00	3.56	-	-	-	-
2019/04/03	00:06	0.00	0.00	0.00	0.04	0.00	-0.20	-37.50	0.00	-	0.00	0.95	0.61	0.00	-	0.00	0.00	-	-	-	-
2019/04/03	00:07	0.00	0.00	0.00	0.03	0.00	0.38	-37.50	0.00	-	0.00	3.84	0.22	3.42	-	1.26	0.00	-	-	-	-
2019/04/03	00:08	0.00	0.00	0.00	0.00	0.00	0.40	-37.50	0.00	-	0.00	7.00	0.00	6.09	-	1.33	2.86	-	-	-	-
2019/04/03	00:09	0.00	0.00	0.00	0.00	0.00	-0.07	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	0.00	0.00	-	-	-	-
2019/04/03	00:10	0.00	0.00	0.00	0.00	0.00	0.48	-37.50	0.00	-	0.00	9.35	2.26	15.40	-	3.88	0.00	-	-	-	-
2019/04/03	00:11	0.00	0.00	0.00	0.00	0.00	0.24	-37.50	0.00	-	0.00	2.61	0.00	0.00	-	0.00	3.80	-	-	-	-
2019/04/03	00:12	0.00	0.00	0.00	0.00	0.00	-0.23	-37.50	0.00	-	0.00	0.00	0.34	0.00	-	0.00	1.60	-	-	-	-
2019/04/03	00:13	0.00	0.00	0.00	0.00	0.00	0.23	-37.50	0.00	-	0.00	5.66	0.45	0.00	-	0.00	0.00	-	-	-	-
2019/04/03	00:14	0.00	0.00	0.00	0.00	0.00	0.10	-37.50	0.00	-	0.00	4.28	0.00	1.25	-	0.42	0.48	-	-	-	-
2019/04/03	00:15	0.00	0.00	0.00	0.00	0.00	0.01	-37.50	0.00	-	0.00	2.40	0.28	4.85	-	0.95	1.51	-	-	-	-
2019/04/03	00:16	0.00	0.00	0.00	0.00	0.00	-0.04	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	0.00	0.00	-	-	-	-
2019/04/03	00:17	0.00	0.00	0.00	0.00	0.00	0.03	-37.50	0.00	-	0.00	4.09	0.36	14.79	-	3.40	0.00	-	-	-	-
2019/04/03	00:18	0.00	0.00	0.00	0.00	0.00	0.50	-37.50	0.00	-	0.00	5.94	0.00	3.13	-	0.00	3.58	-	-	-	-
2019/04/03	00:19	0.00	0.00	0.00	0.00	0.00	0.53	-37.50	0.00	-	0.00	0.00	0.00	6.37	-	0.72	0.00	-	-	-	-
2019/04/03	00:20	0.00	0.00	0.00	0.00	0.00	0.58	-37.50	0.00	-	0.00	7.50	0.00	10.37	-	0.00	0.00	-	-	-	-
2019/04/03	00:21	0.00	0.00	0.00	0.00	0.00	-0.06	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	3.00	0.00	-	-	-	-
2019/04/03	00:22	0.00	0.00	0.00	0.00	0.00	0.35	-37.50	0.00	-	0.00	5.66	0.00	4.41	-	0.00	1.99	-	-	-	-
2019/04/03	00:23	0.00	0.00	0.00	0.00	0.00	-0.09	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	0.00	0.00	-	-	-	-
2019/04/03	00:24	0.00	0.00	0.00	0.00	0.00	-0.18	-37.50	0.00	-	0.00	2.65	0.34	6.24	-	5.31	0.00	-	-	-	-
2019/04/03	00:25	0.00	0.00	0.00	0.00	0.00	0.26	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	1.81	3.40	-	-	-	-
2019/04/03	00:26	0.00	0.00	0.00	0.00	0.00	0.48	-37.50	0.00	-	0.00	1.51	0.00	2.08	-	0.10	2.58	-	-	-	-
2019/04/03	00:27	0.00	0.00	0.00	0.00	0.00	0.37	-37.50	0.00	-	0.00	7.49	0.00	6.75	-	0.00	0.00	-	-	-	-
2019/04/03	00:28	0.00	0.00	0.00	0.00	0.00	-0.03	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	0.35	0.00	-	-	-	-
2019/04/03	00:29	0.00	0.00	0.00	0.00	0.00	-0.25	-37.50	0.00	-	0.00	0.00	1.24	2.55	-	1.64	2.88	-	-	-	-
2019/04/03	00:30	0.00	0.00	0.00	0.00	0.00	-0.22	-37.50	0.00	-	0.00	0.00	1.22	0.00	-	0.00	1.42	-	-	-	-
2019/04/03	00:31	0.00	0.00	0.00	0.00	0.00	0.39	-37.50	0.00	-	0.00	9.48	1.76	18.70	-	2.14	0.00	-	-	-	-
2019/04/03	00:32	0.00	0.00	0.00	0.00	0.00	-0.03	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	0.00	3.81	-	-	-	-
2019/04/03	00:33	0.00	0.00	0.00	0.00	0.00	0.20	-37.50	0.00	-	0.00	3.06	0.00	0.58	-	0.00	0.00	-	-	-	-
2019/04/03	00:34	0.00	0.00	0.00	0.00	0.00	-0.20	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	0.00	0.00	-	-	-	-
2019/04/03	00:35	0.00	0.00	0.00	0.00	0.00	-0.02	-37.50	0.00	-	0.00	0.19	0.00	3.86	-	4.37	0.00	-	-	-	-
2019/04/03	00:36	0.00	0.00	0.00	0.00	0.00	-0.20	-37.50	0.00	-	0.00	0.00	1.30	5.32	-	2.44	3.80	-	-	-	-
2019/04/03	00:37	0.00	0.00	0.00	0.00	0.00	0.30	-37.50	0.00	-	0.00	0.00	0.07	0.00	-	0.00	1.22	-	-	-	-
2019/04/03	00:38	0.00	0.00	0.00	0.00	0.00	0.20	-37.50	0.00	-	0.00	7.21	0.00	15.18	-	5.48	0.00	-	-	-	-
2019/04/03	00:39	0.00	0.00	0.00	0.00	0.00	0.38	-37.50	0.00	-	0.00	1.59	0.00	0.00	-	0.00	6.66	-	-	-	-
2019/04/03	00:40	0.00	0.00	0.00	0.00	0.00	0.55	-37.50	0.00	-	0.00	3.23	0.00	1.47	-	0.04	0.00	-	-	-	-
2019/04/03	00:41	0.00	0.00	0.00	0.00	0.00	0.20	-37.50	0.00	-	0.00	3.89	0.86	0.00	-	0.00	2.47	-	-	-	-
2019/04/03	00:42	0.00	0.00	0.00	0.00	0.00	0.08	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	3.28	0.00	-	-	-	-
2019/04/03	00:43	0.00	0.00	0.00	0.00	0.00	0.51	-37.50	0.00	-	0.00	8.22	0.00	9.17	-	0.00	1.33	-	-	-	-
2019/04/03	00:44	0.00	0.00	0.00	0.00	0.00	-0.24	-37.50	0.00	-	0.00	0.00	0.35	0.00	-	2.51	0.80	-	-	-	-
2019/04/03	00:45	0.00	0.00	0.00	0.00	0.00	0.33	-37.50	0.00	-	0.00	7.63	0.00	5.15	-	0.87	0.00	-	-	-	-
2019/04/03	00:46	0.00	0.00	0.00	0.00	0.00	0.20	-37.50	0.00	-	0.00	0.49	0.16	1.57	-	0.43	6.79	-	-	-	-
2019/04/03	00:47	0.00	0.00	0.00	0.00	0.00	0.50	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	1.07	0.00	-	-	-	-
2019/04/03	00:48	0.00	0.00	0.00	0.00	0.00	0.51	-37.50	0.00	-	0.00	7.36	1.27	13.80	-	0.00	0.73	-	-	-	-
2019/04/03	00:49	0.00	0.00	0.00	0.00	0.00	-0.05	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	0.24	1.19	-	-	-	-
2019/04/03	00:50	0.00	0.00	0.00	0.00	0.00	0.36	-37.50	0.00	-	0.00	3.65	0.48	2.65	-	0.00	1.88	-	-	-	-
2019/04/03	00:51	0.00	0.00	0.00	0.00	0.00	-0.18	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	0.00	0.00	-	-	-	-
2019/04/03	00:52	0.00	0.00	0.00	0.00	0.00	0.12	-37.50	0.00	-	0.00	3.14	0.00	12.72	-	1.95	0.00	-	-	-	-
2019/04/03	00:53	0.00	0.00	0.00	0.00	0.00	-0.37	-37.50	0.00	-	0.00	0.00	0.66	0.00	-	1.77	5.27	-	-	-	-
2019/04/03	00:54	0.00	0.00	0.00	0.00	0.00	-0.43	-37.50	0.00	-	0.00	0.00	0.69	0.00	-	1.43	0.00	-	-	-	-
2019/04/03	00:55	0.00	0.00	0.00	0.00	0.00	-0.23	-37.50	0.00	-	0.00	5.61	1.93	15.05	-	4.32	0.00	-	-	-	-
2019/04/03	00:56	0.00	0.00	0.00	0.00	0.00	0.18	-37.50	0.00	-	0.00	1.00	0.00	0.00	-	0.00	2.46	-	-	-	-
2019/04/03	00:57	0.00	0.00	0.00	0.00	0.00	-0.35	-37.50	0.00	-	0.00	0.00	0.06	0.00	-	0.13	1.18	-	-	-	-
2019/04/03	00:58	0.00	0.00	0.00	0.00	0.00	-0.16	-37.50	0.00	-	0.00	8.65	0.34	5.40	-	0.00	0.00	-	-	-	-
2019/04/03	00:59	0.00	0.00	0.00	0.00	0.00	-0.40	-37.50	0.00	-	0.00	0.00	0.20	0.00	-	2.10	0.00	-	-	-	-
2019/04/03	01:00	0.00	0.00	0.00	0.00	0.00	0.01	-37.50	0.00	-	0.00	1.49	0.00	1.64	-	0.83	0.00	-	-	-	-
2019/04/03	01:01	0.00	0.00	0.00	0.00	0.00	0.07	-37.50	0.00	-	0.00	3.19	0.00	0.00	-	0.00	3.05	-	-	-	-
2019/04/03	01:02	0.00	0.00	0.00	0.00	0.00	0.50	-37.50	0.00	-	0.00	0.00	0.00	4.61	-	1.54	0.00	-	-	-	-
2019/04/03	01:03	0.00	0.00	0.00	0.00	0.00	0.54	-37.50	0.00	-	0.00	9.28	1.40	19.27	-	0.00	0.00	-	-	-	-
2019/04/03	01:04	0.00	0.00	0.00	0.00	0.00	0.05	-37.50	0.00	-	0.00	2.24	0.00	0.00	-	0.25	1.42	-	-	-	-
2019/04/03	01:05	0.00	0.00	0.00	0.00	0.00	0.32	-37.50	0.00	-	0.00	1.40	0.78	4.19	-	2.35	0.68	-	-	-	-
2019/04/03	01:06	0.00	0.00	0.00	0.00	0.00	0.25	-37.50	0.00	-	0.00	0.67	0.00	0.00	-	0.00	0.00	-	-	-	-
2019/04/03	01:07	0.00	0.00	0.00	0.00	0.00	0.17	-37.50	0.00	-	0.00	6.45	0.00	7.09	-	5.73	0.00	-	-	-	-
2019/04/03	01:08	0.00	0.00	0.00	0.00	0.00	0.02	-37.50	0.00	-	0.00	0.00	0.35	6.40	-	0.09	4.03	-	-	-	-
2019/04/03	01:09	0.00	0.00	0.00	0.00	0.00	0.04	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	0.67	0.00	-	-	-	-
2019/04/03	01:10	0.00	0.00	0.00	0.00	0.00	0.16	-37.50	0.00	-	0.00	6.03	1.54	13.30	-	5.87	1.75	-	-	-	-
2019/04/03	01:11	0.00	0.00	0.00	0.00	0.00	0.34	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	0.00	2.88	-	-	-	-
2019/04/03	01:12	0.00	0.00	0.00	0.00	0.00	0.45	-37.50	0.00	-	0.00	3.81	0.00	2.80	-	0.00	0.29	-	-	-	-
2019/04/03	01:13	0.00	0.00	0.00	0.00	0.00	-0.11	-37.50	0.00	-	0.00	4.83	0.00	3.69	-	0.00	0.00	-	-	-	-
2019/04/03	01:14	0.00	0.00	0.00	0.00	0.00	0.25	-37.50	0.00	-	0.00	0.00	0.62	0.24	-	1.80	0.00	-	-	-	-
2019/04/03	01:15	0.00	0.00	0.00	0.00	0.00	-0.18	-37.50	0.00	-	0.00	0.74	0.00	5.64	-	2.07	1.44	-	-	-	-
2019/04/03	01:16	0.00	0.00	0.00	0.00	0.00	-0.28	-37.50	0.00	-	0.00	0.00	1.28	0.00	-	0.00	0.00	-	-	-	-
2019/04/03	01:17	0.00	0.00	0.00	0.00	0.00	0.31	-37.50	0.00	-	0.00	9.94	0.06	6.70	-	2.33	0.00	-	-	-	-
2019/04/03	01:18	0.00	0.00	0.00	0.00	0.00	-0.15	-37.50	0.00	-	0.00	0.45	0.00	2.83	-	0.24	3.24	-	-	-	-
2019/04/03	01:19	0.00	0.00	0.00	0.00	0.00	-0.32	-37.50	0.00	-	0.00	0.00	2.00	1.65	-	0.00	3.31	-	-	-	-
2019/04/03	01:20	0.00	0.00	0.00	0.00	0.00	0.03	-37.50	0.00	-	0.00	3.09	0.97	0.00	-	0.00	0.00	-	-	-	-
2019/04/03	01:21	0.00	0.00	0.00	0.00	0.00	0.42	-37.50	0.00	-	0.00	5.86	0.00	1.54	-	1.61	0.00	-	-	-	-
2019/04/03	01:22	0.00	0.00	0.00	0.00	0.00	-0.11	-37.50	0.00	-	0.00	0.39	0.00	6.11	-	1.77	1.27	-	-	-	-
2019/04/03	01:23	0.00	0.00	0.00	0.00	0.00	-0.38	-37.50	0.00	-	0.00	0.00	0.50	0.00	-	0.00	1.10	-	-	-	-
2019/04/03	01:24	0.00	0.00	0.00	0.00	0.00	-0.03	-37.50	0.00	-	0.00	1.15	0.45	6.71	-	5.13	0.00	-	-	-	-
2019/04/03	01:25	0.00	0.00	0.00	0.00	0.00	0.43	-37.50	0.00	-	0.00	8.25	0.00	6.79	-	0.00	4.43	-	-	-	-
2019/04/03	01:26	0.00	0.00	0.00	0.00	0.00	0.41	-37.50	0.00	-	0.00	2.44	0.00	0.00	-	0.00	0.93	-	-	-	-
2019/04/03	01:27	0.00	0.00	0.00	0.00	0.00	0.64	-37.50	0.00	-	0.00	10.46	0.00	15.29	-	0.00	0.00	-	-	-	-
2019/04/03	01:28	0.00	0.00	0.00	0.00	0.00	0.54	-37.50	0.00	-	0.00	0.43	0.00	0.00	-	0.00	0.00	-	-	-	-
2019/04/03	01:29	0.00	0.00	0.00	0.00	0.00	0.56	-37.50	0.00	-	0.00	1.92	0.00	5.02	-	0.36	2.52	-	-	-	-
2019/04/03	01:30	0.00	0.00	0.00	0.00	0.00	-0.06	-37.50	0.00	-	0.00	2.40	0.10	17.14	-	2.22	0.00	-	-	-	-
2019/04/03	01:31	0.00	0.00	0.00	0.00	0.00	-0.25	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	0.00	2.12	-	-	-	-
2019/04/03	01:32	0.00	0.00	0.00	0.00	0.00	-0.37	-37.50	0.00	-	0.00	0.00	0.00	1.64	-	3.24	0.57	-	-	-	-
2019/04/03	01:33	0.00	0.00	0.00	0.00	0.00	0.27	-37.50	0.00	-	0.00	3.83	1.47	0.00	-	0.00	2.70	-	-	-	-
2019/04/03	01:34	0.00	0.00	0.00	0.00	0.00	-0.15	-37.50	0.00	-	0.00	0.00	0.00	6.32	-	5.22	0.00	-	-	-	-
2019/04/03	01:35	0.00	0.00	0.00	0.06	0.00	-0.14	-37.50	0.00	-	0.00	4.65	0.39	3.57	-	1.14	4.24	-	-	-	-
2019/04/03	01:36	0.00	0.00	0.00	0.04	0.00	0.35	-37.50	0.00	-	0.00	0.00	0.40	0.00	-	0.00	0.96	-	-	-	-
2019/04/03	01:37	0.00	0.00	0.00	0.06	0.00	0.58	-37.50	0.00	-	0.00	11.23	0.30	14.82	-	3.55	0.99	-	-	-	-
2019/04/03	01:38	0.00	0.00	0.00	0.00	0.00	0.52	-37.50	0.00	-	0.00	3.32	0.00	0.00	-	0.00	4.16	-	-	-	-
2019/04/03	01:39	0.00	0.00	0.00	0.03	0.00	-0.18	-37.50	0.00	-	0.00	0.00	0.00	3.48	-	0.05	2.60	-	-	-	-
2019/04/03	01:40	0.00	0.00	0.00	0.00	0.00	-0.13	-37.50	0.00	-	0.00	2.85	0.00	0.00	-	0.00	0.00	-	-	-	-
2019/04/03	01:41	0.00	0.00	0.00	0.00	0.00	-0.25	-37.50	0.00	-	0.00	1.88	0.00	3.34	-	3.59	0.00	-	-	-	-
2019/04/03	01:42	0.00	0.00	0.00	0.00	0.00	0.35	-37.50	0.00	-	0.00	3.24	0.00	0.59	-	0.00	3.73	-	-	-	-
2019/04/03	01:43	0.00	0.00	0.00	0.00	0.00	0.21	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	0.87	0.00	-	-	-	-
2019/04/03	01:44	0.00	0.00	0.00	0.00	0.00	0.46	-37.50	0.00	-	0.00	10.11	1.70	13.89	-	1.96	1.22	-	-	-	-
2019/04/03	01:45	0.00	0.00	0.00	0.00	0.00	0.66	-37.50	0.00	-	0.00	5.03	0.00	0.00	-	0.00	3.28	-	-	-	-
2019/04/03	01:46	0.00	0.00	0.00	0.00	0.00	0.57	-37.50	0.00	-	0.00	0.68	0.00	8.91	-	0.49	1.26	-	-	-	-
2019/04/03	01:47	0.00	0.00	0.00	0.00	0.00	-0.03	-37.50	0.00	-	0.00	4.22	0.00	0.00	-	0.00	0.00	-	-	-	-
2019/04/03	01:48	0.00	0.00	0.00	0.00	0.00	-0.06	-37.50	0.00	-	0.00	0.99	1.16	1.14	-	1.39	2.03	-	-	-	-
2019/04/03	01:49	0.00	0.00	0.00	0.00	0.00	0.02	-37.50	0.00	-	0.00	1.30	0.00	0.00	-	1.07	1.86	-	-	-	-
2019/04/03	01:50	0.00	0.00	0.00	0.00	0.00	0.11	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	0.00	0.00	-	-	-	-
2019/04/03	01:51	0.00	0.00	0.00	0.00	0.00	0.08	-37.50	0.00	-	0.00	0.99	0.49	4.15	-	4.53	0.00	-	-	-	-
2019/04/03	01:52	0.00	0.00	0.00	0.00	0.00	-0.07	-37.50	0.00	-	0.00	3.47	0.00	6.55	-	0.00	5.28	-	-	-	-
2019/04/03	01:53	0.00	0.00	0.00	0.00	0.00	-0.30	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	1.33	0.00	-	-	-	-
2019/04/03	01:54	0.00	0.00	0.00	0.00	0.00	-0.34	-37.50	0.00	-	0.00	3.89	2.10	16.32	-	0.00	0.00	-	-	-	-
2019/04/03	01:55	0.00	0.00	0.00	0.00	0.00	0.08	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	0.00	0.00	-	-	-	-
2019/04/03	01:56	0.00	0.00	0.00	0.00	0.00	0.23	-37.50	0.00	-	0.00	0.87	0.32	3.04	-	0.11	4.58	-	-	-	-
2019/04/03	01:57	0.00	0.00	0.00	0.00	0.00	-0.09	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	0.00	0.77	-	-	-	-
2019/04/03	01:58	0.00	0.00	0.00	0.00	0.00	0.20	-37.50	0.00	-	0.00	6.42	0.00	12.43	-	4.23	0.00	-	-	-	-
2019/04/03	01:59	0.00	0.00	0.00	0.00	0.00	0.41	-37.50	0.00	-	0.00	4.37	0.00	2.83	-	0.00	4.91	-	-	-	-
2019/04/03	02:00	0.00	0.00	0.00	0.00	0.00	0.07	-37.50	0.00	-	0.00	0.00	0.00	2.51	-	2.32	0.36	-	-	-	-
2019/04/03	02:01	0.00	0.00	0.00	0.00	0.00	0.07	-37.50	0.00	-	0.00	5.33	0.00	4.21	-	0.00	2.20	-	-	-	-
2019/04/03	02:02	0.00	0.00	0.00	0.00	0.00	-0.18	-37.50	0.00	-	0.00	0.00	0.00	0.56	-	0.81	1.32	-	-	-	-
2019/04/03	02:03	0.00	0.00	0.00	0.00	0.00	0.39	-37.50	0.00	-	0.00	7.30	2.55	10.30	-	0.00	0.00	-	-	-	-
2019/04/03	02:04	0.00	0.00	0.00	0.00	0.00	0.58	-37.50	0.00	-	0.00	5.11	0.00	0.00	-	0.00	2.34	-	-	-	-
2019/04/03	02:05	0.00	0.00	0.00	0.00	0.00	0.21	-37.50	0.00	-	0.00	1.66	0.00	0.00	-	1.72	0.49	-	-	-	-
2019/04/03	02:06	0.00	0.00	0.00	0.00	0.00	0.42	-37.50	0.00	-	0.00	0.00	1.19	0.00	-	0.00	0.64	-	-	-	-
2019/04/03	02:07	0.00	0.00	0.00	0.00	0.00	-0.13	-37.50	0.00	-	0.00	3.06	0.00	0.10	-	3.18	0.00	-	-	-	-
2019/04/03	02:08	0.00	0.00	0.00	0.00	0.00	0.42	-37.50	0.00	-	0.00	3.45	0.88	8.51	-	2.06	2.47	-	-	-	-
2019/04/03	02:09	0.00	0.00	0.00	0.00	0.00	-0.18	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	0.00	0.00	-	-	-	-
2019/04/03	02:10	0.00	0.00	0.00	0.00	0.00	-0.25	-37.50	0.00	-	0.00	6.27	2.94	12.74	-	4.70	1.65	-	-	-	-
2019/04/03	02:11	0.00	0.00	0.00	0.00	0.00	0.22	-37.50	0.00	-	0.00	0.20	0.00	0.00	-	0.00	3.67	-	-	-	-
2019/04/03	02:12	0.00	0.00	0.00	0.00	0.00	-0.12	-37.50	0.00	-	0.00	3.08	0.00	0.00	-	0.00	1.28	-	-	-	-
2019/04/03	02:13	0.00	0.00	0.00	0.00	0.00	-0.24	-37.50	0.00	-	0.00	4.85	0.00	0.38	-	0.00	0.00	-	-	-	-
2019/04/03	02:14	0.00	0.00	0.00	0.00	0.00	0.30	-37.50	0.00	-	0.00	3.43	0.00	0.13	-	1.63	0.00	-	-	-	-
2019/04/03	02:15	0.00	0.00	0.00	0.00	0.00	0.15	-37.50	0.00	-	0.00	0.00	0.00	7.14	-	1.65	0.65	-	-	-	-
2019/04/03	02:16	0.00	0.00	0.00	0.00	0.00	-0.19	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	0.00	1.14	-	-	-	-
2019/04/03	02:17	0.00	0.00	0.00	0.00	0.00	0.01	-37.50	0.00	-	0.00	1.36	0.58	7.17	-	4.57	0.00	-	-	-	-
2019/04/03	02:18	0.00	0.00	0.00	0.00	0.00	-0.16	-37.50	0.00	-	0.00	6.08	0.00	5.29	-	0.00	6.32	-	-	-	-
2019/04/03	02:19	0.00	0.00	0.00	0.00	0.00	-0.15	-37.50	0.00	-	0.00	0.00	0.84	0.00	-	0.57	0.40	-	-	-	-
2019/04/03	02:20	0.00	0.00	0.00	0.00	0.00	-0.14	-37.50	0.00	-	0.00	9.69	0.22	12.92	-	0.00	0.00	-	-	-	-
