yyyy/mm/dd	hh:mm	G(0)	G(41)	D(0)	B	Wvel	Wdir	Tamb	GiNuk	-	VMIso	GMBP	GMIso	GiEsti	TcEsti	GIzFr	GIzPos	-	-	-	-
2019/04/02	23:30	0.00	0.00	0.00	0.00	0.00	-0.19	-37.50	0.00	-	0.00	6.10	2.09	14.40	-	0.00	0.00	-	-	-	-
2019/04/02	23:31	0.00	0.00	0.00	0.04	0.00	-0.09	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	1.90	0.00	-	-	-	-
2019/04/02	23:32	0.00	0.00	0.00	0.01	0.00	-0.41	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	0.08	1.67	-	-	-	-
2019/04/02	23:33	0.00	0.00	0.00	0.00	0.00	-0.04	-37.50	0.00	-	0.00	1.65	0.00	0.00	-	0.00	0.00	-	-	-	-
2019/04/02	23:34	0.00	0.00	0.00	0.01	0.00	0.19	-37.50	0.00	-	0.00	0.00	0.32	4.16	-	4.36	0.00	-	-	-	-
2019/04/02	23:35	0.00	0.00	0.00	0.00	0.00	0.21	-37.50	0.00	-	0.00	4.06	0.00	6.09	-	0.00	4.07	-	-	-	-
2019/04/02	23:36	0.00	0.00	0.00	0.00	0.00	-0.19	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	0.79	0.00	-	-	-	-
2019/04/02	23:37	0.00	0.00	0.00	0.00	0.00	-0.18	-37.50	0.00	-	0.00	5.82	1.92	14.90	-	3.60	0.13	-	-	-	-
2019/04/02	23:38	0.00	0.00	0.00	0.07	0.00	0.19	-37.50	0.00	-	0.00	0.70	0.00	0.00	-	0.00	3.42	-	-	-	-
2019/04/02	23:39	0.00	0.00	0.00	0.00	0.00	-0.03	-37.50	0.00	-	0.00	0.00	0.77	0.00	-	0.00	2.43	-	-	-	-
2019/04/02	23:40	0.00	0.00	0.00	0.00	0.00	0.21	-37.50	0.00	-	0.00	8.82	0.00	0.00	-	0.00	0.00	-	-	-	-
2019/04/02	23:41	0.00	0.00	0.00	0.00	0.00	-0.13	-37.50	0.00	-	0.00	0.00	1.31	2.30	-	2.20	3.12	-	-	-	-
2019/04/02	23:42	0.00	0.00	0.00	0.00	0.00	-0.07	-37.50	0.00	-	0.00	1.73	0.00	1.38	-	1.48	0.00	-	-	-	-
2019/04/02	23:43	0.00	0.00	0.00	0.00	0.00	-0.42	-37.50	0.00	-	0.00	0.00	1.40	0.00	-	1.27	0.00	-	-	-	-
2019/04/02	23:44	0.00	0.00	0.00	0.00	0.00	0.26	-37.50	0.00	-	0.00	8.97	1.37	6.97	-	2.47	0.00	-	-	-	-
2019/04/02	23:45	0.00	0.00	0.00	0.00	0.00	-0.02	-37.50	0.00	-	0.00	2.40	0.00	8.90	-	0.00	2.63	-	-	-	-
2019/04/02	23:46	0.00	0.00	0.00	0.00	0.00	-0.39	-37.50	0.00	-	0.00	0.00	0.31	0.00	-	0.90	0.00	-	-	-	-
2019/04/02	23:47	0.00	0.00	0.00	0.00	0.00	-0.06	-37.50	0.00	-	0.00	7.50	1.08	18.41	-	0.00	0.00	-	-	-	-
2019/04/02	23:48	0.00	0.00	0.00	0.00	0.00	0.28	-37.50	0.00	-	0.00	2.54	0.00	1.07	-	2.17	0.00	-	-	-	-
2019/04/02	23:49	0.00	0.00	0.00	0.00	0.00	-0.11	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	3.48	1.48	-	-	-	-
2019/04/02	23:50	0.00	0.00	0.00	0.00	0.00	-0.13	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	0.00	0.43	-	-	-	-
2019/04/02	23:51	0.00	0.00	0.00	0.00	0.00	-0.23	-37.50	0.00	-	0.00	0.00	0.00	10.18	-	6.12	0.00	-	-	-	-
2019/04/02	23:52	0.00	0.00	0.00	0.00	0.00	-0.27	-37.50	0.00	-	0.00	0.00	0.00	1.96	-	0.00	5.15	-	-	-	-
2019/04/02	23:53	0.00	0.00	0.00	0.00	0.00	0.15	-37.50	0.00	-	0.00	0.45	0.78	0.00	-	0.00	0.92	-	-	-	-
2019/04/02	23:54	0.00	0.00	0.00	0.00	0.00	0.45	-37.50	0.00	-	0.00	13.68	0.00	9.05	-	0.00	0.47	-	-	-	-
2019/04/02	23:55	0.00	0.00	0.00	0.00	0.00	0.05	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	2.71	0.00	-	-	-	-
2019/04/02	23:56	0.00	0.00	0.00	0.00	0.00	0.23	-37.50	0.00	-	0.00	5.97	0.00	0.53	-	0.00	0.00	-	-	-	-
2019/04/02	23:57	0.00	0.00	0.00	0.01	0.00	0.39	-37.50	0.00	-	0.00	0.00	0.00	0.00	-	0.00	0.00	-	-	-	-
2019/04/02	23:58	0.00	0.00	0.00	0.00	0.00	0.42	-37.50	0.00	-	0.00	6.81	0.00	9.63	-	1.25	0.00	-	-	-	-
