yyyy/mm/dd	hh:mm	V_Viento	D_Viento	Temp_Air	Rad_Dir	Ele_Sol	Ori_Sol	Top	Mid	Bot	Cal_Top	Cal_Mid	Cal_Bot	Pres_Aire
2019/04/03	00:00	0.933	223.640	11.068	0.000	NaN	284.696	-0.443	-0.441	-0.529	9.178	5.513	7.593	350.014
2019/04/03	00:01	1.081	211.115	11.050	0.003	NaN	284.696	-0.443	-0.440	-0.528	6.844	7.099	7.674	350.014
2019/04/03	00:02	0.825	227.246	11.029	0.008	NaN	284.696	-0.443	-0.440	-0.528	10.059	4.817	6.633	350.014
2019/04/03	00:03	0.689	236.636	11.041	0.005	NaN	284.698	-0.443	-0.439	-0.526	9.936	8.385	4.721	350.014
2019/04/03	00:04	0.987	228.599	11.068	0.000	NaN	284.698	-0.441	-0.439	-0.529	7.442	10.078	5.240	350.014
2019/04/03	00:05	1.026	236.656	11.059	0.000	NaN	284.698	-0.440	-0.438	-0.529	9.244	2.961	11.515	350.014
2019/04/03	00:06	0.667	217.492	11.036	0.000	NaN	284.698	-0.442	-0.438	-0.526	7.085	6.942	9.566	350.014
2019/04/03	00:07	0.646	223.400	11.046	0.000	NaN	284.698	-0.441	-0.439	-0.528	7.684	6.016	5.902	350.014
2019/04/03	00:08	0.816	257.081	11.061	0.000	NaN	284.698	-0.440	-0.438	-0.529	7.707	7.124	7.490	350.014
2019/04/03	00:09	0.789	239.189	11.039	0.000	NaN	284.700	-0.441	-0.438	-0.529	8.581	6.038	8.651	350.014
2019/04/03	00:10	0.767	197.428	10.995	0.058	NaN	284.700	-0.445	-0.438	-0.524	8.721	6.979	5.992	350.014
2019/04/03	00:11	0.657	195.191	10.976	0.176	NaN	284.700	-0.446	-0.440	-0.526	7.048	7.215	8.403	350.014
2019/04/03	00:12	0.749	208.327	10.967	0.164	NaN	284.700	-0.440	-0.441	-0.537	5.419	9.157	3.767	350.014
2019/04/03	00:13	0.915	226.416	10.959	0.116	NaN	284.700	-0.435	-0.437	-0.536	8.830	5.965	5.425	350.014
2019/04/03	00:14	1.246	233.798	10.982	0.218	NaN	284.700	-0.443	-0.437	-0.524	9.834	6.602	5.974	350.014
2019/04/03	00:15	1.177	229.530	10.982	0.249	NaN	284.702	-0.448	-0.441	-0.521	7.462	7.690	8.819	350.014
2019/04/03	00:16	0.855	218.003	10.941	0.129	NaN	284.702	-0.447	-0.440	-0.525	8.018	7.970	5.685	350.014
2019/04/03	00:17	0.813	195.686	10.898	0.056	NaN	284.702	-0.447	-0.440	-0.527	4.700	7.204	8.531	350.014
2019/04/03	00:18	0.784	198.341	10.843	0.027	NaN	284.702	-0.443	-0.440	-0.531	6.332	8.054	3.654	350.014
2019/04/03	00:19	1.021	202.829	10.789	0.000	NaN	75.298	-0.440	-0.439	-0.533	7.825	11.560	9.451	350.014
2019/04/03	00:20	1.035	192.441	10.742	0.000	NaN	75.296	-0.437	-0.438	-0.533	10.379	4.610	7.312	350.014
2019/04/03	00:21	0.715	173.335	10.699	0.000	NaN	75.296	-0.437	-0.437	-0.528	5.316	4.557	6.123	350.014
2019/04/03	00:22	0.583	190.770	10.656	0.000	NaN	75.296	-0.438	-0.438	-0.530	5.365	9.775	4.298	350.014
2019/04/03	00:23	0.579	220.499	10.609	0.000	NaN	75.296	-0.441	-0.439	-0.528	7.133	6.880	9.852	350.014
2019/04/03	00:24	0.643	217.310	10.572	0.000	NaN	75.296	-0.441	-0.440	-0.527	7.240	7.298	2.910	350.014
2019/04/03	00:25	0.530	194.860	10.535	0.000	NaN	75.296	-0.439	-0.439	-0.529	5.157	9.762	7.553	350.014
2019/04/03	00:26	0.265	245.137	10.491	0.000	NaN	75.294	-0.441	-0.440	-0.529	3.149	9.363	7.922	350.014
2019/04/03	00:27	0.226	323.379	10.443	0.000	NaN	75.294	-0.440	-0.440	-0.530	8.149	6.127	4.137	350.014
2019/04/03	00:28	0.256	326.581	10.401	0.000	NaN	75.294	-0.439	-0.439	-0.531	6.031	5.542	4.298	350.014
2019/04/03	00:29	0.273	301.915	10.352	0.000	NaN	75.294	-0.442	-0.440	-0.527	5.886	4.860	8.982	350.014
2019/04/03	00:30	0.313	233.305	10.312	0.000	NaN	75.294	-0.444	-0.441	-0.525	8.055	6.978	4.510	350.014
2019/04/03	00:31	0.522	180.141	10.314	0.000	NaN	75.292	-0.443	-0.439	-0.523	9.893	3.815	7.267	350.014
2019/04/03	00:32	0.538	184.689	10.328	0.000	NaN	75.292	-0.438	-0.437	-0.524	8.211	7.205	6.014	350.014
2019/04/03	00:33	0.385	255.832	10.305	0.000	NaN	75.292	-0.438	-0.439	-0.530	11.027	6.000	5.391	350.014
2019/04/03	00:34	0.478	326.794	10.215	0.000	NaN	75.292	-0.440	-0.439	-0.529	6.758	6.102	5.538	350.014
2019/04/03	00:35	0.516	329.680	10.105	0.000	NaN	75.292	-0.441	-0.439	-0.527	7.225	5.967	6.822	350.014
2019/04/03	00:36	0.433	336.613	10.120	0.000	NaN	75.292	-0.441	-0.440	-0.527	6.447	7.718	4.673	350.014
2019/04/03	00:37	0.317	181.709	10.211	0.000	NaN	75.289	-0.441	-0.439	-0.528	8.021	7.244	7.767	350.014
2019/04/03	00:38	0.237	48.820	10.280	0.000	NaN	75.289	-0.441	-0.438	-0.527	4.927	6.926	4.758	350.014
2019/04/03	00:39	0.288	184.105	10.350	0.000	NaN	75.289	-0.441	-0.439	-0.527	6.799	3.765	7.030	350.014
2019/04/03	00:40	0.404	189.821	10.412	0.000	NaN	75.289	-0.443	-0.440	-0.526	4.961	3.431	8.711	350.014
2019/04/03	00:41	0.454	106.668	10.457	0.000	NaN	75.289	-0.439	-0.438	-0.529	7.098	5.645	-1.606	350.014
2019/04/03	00:42	0.597	233.050	10.437	0.000	NaN	75.289	-0.436	-0.437	-0.533	8.174	5.641	4.478	350.014
2019/04/03	00:43	0.613	192.706	10.457	0.000	NaN	75.287	-0.443	-0.439	-0.526	6.409	5.854	6.197	350.014
2019/04/03	00:44	0.446	75.824	10.510	0.000	NaN	75.287	-0.445	-0.440	-0.525	7.464	6.479	7.781	350.014
2019/04/03	00:45	0.476	123.627	10.498	0.000	NaN	75.287	-0.441	-0.439	-0.528	7.437	9.945	5.915	350.014
2019/04/03	00:46	0.394	168.726	10.413	0.000	NaN	75.287	-0.443	-0.439	-0.526	5.027	7.555	5.787	350.014
2019/04/03	00:47	0.374	149.125	10.424	0.000	NaN	75.287	-0.444	-0.439	-0.525	6.794	8.055	6.108	350.014
2019/04/03	00:48	0.415	113.060	10.541	0.000	NaN	75.285	-0.442	-0.438	-0.526	9.205	6.779	3.891	350.014
2019/04/03	00:49	0.317	141.131	10.531	0.000	NaN	75.285	-0.442	-0.439	-0.528	6.071	8.026	6.207	350.014
2019/04/03	00:50	0.329	132.554	10.503	0.000	NaN	75.285	-0.444	-0.439	-0.525	6.897	7.030	6.632	350.014
2019/04/03	00:51	0.408	142.944	10.453	0.000	NaN	75.285	-0.444	-0.439	-0.526	7.522	2.422	7.674	350.014
2019/04/03	00:52	0.495	164.980	10.363	0.000	NaN	75.285	-0.440	-0.438	-0.527	5.611	10.071	5.989	350.014
2019/04/03	00:53	0.456	91.000	10.332	0.000	NaN	75.285	-0.437	-0.437	-0.531	10.529	6.909	5.435	350.014
2019/04/03	00:54	0.346	21.657	10.272	0.000	NaN	75.283	-0.444	-0.439	-0.525	4.172	6.496	8.422	350.014
2019/04/03	00:55	0.395	89.050	10.218	0.000	NaN	75.283	-0.443	-0.437	-0.522	7.916	3.857	7.046	350.014
2019/04/03	00:56	0.437	173.637	10.197	0.000	NaN	75.283	-0.436	-0.437	-0.534	6.267	8.399	4.957	350.014
2019/04/03	00:57	0.487	165.509	10.164	0.000	NaN	75.283	-0.441	-0.439	-0.530	6.397	8.672	4.271	350.014
2019/04/03	00:58	0.543	218.371	10.127	0.000	NaN	75.283	-0.438	-0.436	-0.525	11.428	5.994	5.390	350.014
2019/04/03	00:59	0.520	224.841	10.077	0.000	NaN	75.283	-0.437	-0.436	-0.526	7.098	7.148	8.510	350.014
2019/04/03	01:00	0.435	170.932	10.032	0.000	NaN	75.281	-0.442	-0.438	-0.525	5.372	5.566	8.367	350.014
2019/04/03	01:01	0.723	196.225	10.018	0.000	NaN	75.281	-0.441	-0.438	-0.527	7.521	8.451	4.900	350.014
2019/04/03	01:02	0.962	243.846	10.028	0.000	NaN	75.281	-0.441	-0.437	-0.526	8.284	7.317	5.116	350.014
2019/04/03	01:03	0.896	267.318	10.052	0.000	NaN	75.281	-0.440	-0.437	-0.527	6.973	8.192	6.170	350.014
2019/04/03	01:04	0.959	254.497	10.114	0.000	NaN	75.281	-0.440	-0.436	-0.526	7.739	7.324	4.080	350.014
2019/04/03	01:05	1.021	238.159	10.181	0.000	NaN	75.279	-0.442	-0.437	-0.524	2.357	6.731	7.067	350.014
2019/04/03	01:06	1.052	218.605	10.203	0.000	NaN	75.279	-0.442	-0.436	-0.524	9.244	5.641	6.641	350.014
2019/04/03	01:07	1.052	226.059	10.217	0.025	NaN	75.279	-0.438	-0.435	-0.529	5.418	7.645	5.253	350.014
2019/04/03	01:08	0.875	247.097	10.223	0.025	NaN	75.279	-0.442	-0.438	-0.528	5.437	7.370	7.936	350.014
2019/04/03	01:09	0.752	231.637	10.209	0.000	NaN	75.279	-0.444	-0.438	-0.525	7.369	9.154	4.356	350.014
2019/04/03	01:10	0.775	195.202	10.159	0.000	NaN	75.279	-0.440	-0.436	-0.526	6.447	7.291	6.669	350.014
2019/04/03	01:11	1.049	201.013	10.137	0.047	NaN	75.277	-0.440	-0.436	-0.525	9.356	6.970	5.925	350.014
2019/04/03	01:12	1.192	222.933	10.175	0.121	NaN	75.277	-0.445	-0.438	-0.523	7.240	7.874	7.053	350.014
2019/04/03	01:13	1.489	219.224	10.184	0.250	NaN	75.277	-0.448	-0.440	-0.524	6.374	8.878	5.831	350.014
2019/04/03	01:14	1.694	205.575	10.133	0.347	NaN	75.277	-0.447	-0.439	-0.522	5.250	7.223	7.530	350.014
2019/04/03	01:15	1.105	201.136	10.068	0.256	NaN	75.277	-0.443	-0.437	-0.522	5.692	8.974	6.148	350.014
2019/04/03	01:16	1.113	205.880	10.042	0.091	NaN	75.275	-0.438	-0.437	-0.531	5.670	8.488	6.382	350.014
2019/04/03	01:17	1.355	202.641	10.007	0.096	NaN	75.275	-0.441	-0.439	-0.529	5.705	7.132	7.637	350.014
2019/04/03	01:18	1.359	195.706	9.973	0.218	NaN	75.275	-0.442	-0.438	-0.525	9.361	6.683	4.236	350.014
2019/04/03	01:19	1.265	195.727	9.975	0.273	NaN	75.275	-0.438	-0.436	-0.527	6.301	6.513	9.198	350.014
2019/04/03	01:20	1.162	206.436	9.958	0.164	NaN	75.275	-0.434	-0.434	-0.532	7.445	8.070	4.351	350.014
2019/04/03	01:21	1.281	216.891	9.952	0.081	NaN	75.275	-0.434	-0.435	-0.534	10.756	7.192	5.992	350.014
2019/04/03	01:22	1.256	216.005	9.996	0.071	NaN	75.273	-0.444	-0.438	-0.521	5.590	9.407	4.723	350.014
2019/04/03	01:23	1.262	208.354	10.026	0.046	NaN	75.273	-0.447	-0.439	-0.522	5.754	6.185	7.939	350.014
2019/04/03	01:24	1.170	203.931	10.026	0.205	NaN	75.273	-0.443	-0.438	-0.526	8.156	8.215	4.433	350.014
2019/04/03	01:25	0.855	212.921	10.013	0.168	NaN	75.273	-0.441	-0.438	-0.528	5.342	8.139	7.355	350.014
2019/04/03	01:26	0.879	215.663	9.990	0.000	NaN	75.273	-0.440	-0.438	-0.530	7.078	10.452	6.424	350.014
2019/04/03	01:27	1.085	209.642	9.979	0.000	NaN	75.273	-0.439	-0.436	-0.526	5.179	7.639	6.227	350.014
2019/04/03	01:28	1.103	209.381	9.971	0.000	NaN	75.271	-0.437	-0.435	-0.525	8.086	4.139	7.783	350.014
2019/04/03	01:29	1.149	213.420	9.984	0.000	NaN	75.271	-0.438	-0.434	-0.523	11.232	5.524	5.890	350.014
2019/04/03	01:30	1.142	215.915	9.993	0.000	NaN	75.271	-0.443	-0.437	-0.521	7.393	4.799	8.403	350.014
2019/04/03	01:31	1.184	218.894	9.979	0.000	NaN	75.271	-0.438	-0.437	-0.529	6.183	6.640	4.226	350.014
2019/04/03	01:32	1.131	222.696	9.940	0.000	NaN	75.271	-0.437	-0.436	-0.529	6.412	7.734	5.823	350.014
2019/04/03	01:33	0.648	135.423	9.896	0.000	NaN	75.269	-0.445	-0.439	-0.522	6.046	8.404	5.201	350.014
2019/04/03	01:34	0.742	168.352	9.836	0.000	NaN	75.269	-0.439	-0.437	-0.527	9.936	5.585	8.181	350.014
2019/04/03	01:35	1.261	272.130	9.808	0.000	NaN	75.269	-0.435	-0.436	-0.532	5.293	6.737	6.459	350.014
2019/04/03	01:36	1.294	254.731	9.903	0.000	NaN	75.269	-0.440	-0.439	-0.533	5.975	7.308	7.966	350.014
2019/04/03	01:37	1.015	270.993	9.993	0.000	NaN	75.269	-0.440	-0.438	-0.532	7.258	8.633	5.051	350.014
2019/04/03	01:38	0.738	262.159	10.018	0.000	NaN	75.269	-0.439	-0.438	-0.532	8.619	5.616	9.244	350.014
2019/04/03	01:39	0.865	240.084	10.055	0.000	NaN	75.267	-0.438	-0.436	-0.526	5.337	9.521	6.792	350.014
2019/04/03	01:40	0.969	245.063	10.063	0.000	NaN	75.267	-0.436	-0.433	-0.521	9.350	6.708	6.954	350.014
2019/04/03	01:41	0.985	240.645	10.016	0.000	NaN	75.267	-0.438	-0.434	-0.522	7.110	5.190	4.376	350.014
2019/04/03	01:42	0.995	229.050	9.966	0.000	NaN	75.267	-0.437	-0.434	-0.523	7.158	6.520	4.154	350.014
2019/04/03	01:43	0.868	230.227	9.919	0.000	NaN	75.267	-0.439	-0.435	-0.524	7.871	4.691	7.002	350.014
2019/04/03	01:44	0.866	235.406	9.876	0.000	NaN	75.267	-0.438	-0.436	-0.526	6.515	7.198	4.525	350.014
2019/04/03	01:45	1.158	235.456	9.865	0.000	NaN	75.265	-0.436	-0.435	-0.526	5.073	7.256	5.980	350.014
2019/04/03	01:46	1.179	248.737	9.852	0.000	NaN	75.265	-0.443	-0.438	-0.524	6.302	6.751	6.325	350.014
2019/04/03	01:47	0.707	260.929	9.807	0.000	NaN	75.265	-0.437	-0.436	-0.531	6.178	8.752	3.979	350.014
2019/04/03	01:48	0.593	246.368	9.795	0.000	NaN	75.265	-0.427	-0.433	-0.539	6.702	9.419	3.348	350.014
2019/04/03	01:49	0.703	228.249	9.810	0.000	NaN	75.265	-0.434	-0.436	-0.533	5.012	7.186	7.970	350.014
2019/04/03	01:50	0.928	231.558	9.873	0.003	NaN	75.263	-0.442	-0.437	-0.522	7.658	4.164	9.033	350.014
2019/04/03	01:51	1.027	233.756	9.940	0.023	NaN	75.263	-0.445	-0.437	-0.516	7.890	4.636	7.480	350.014
2019/04/03	01:52	0.808	222.706	9.949	0.021	NaN	75.263	-0.443	-0.437	-0.520	8.748	7.154	5.578	350.014
2019/04/03	01:53	0.627	218.926	9.936	0.001	NaN	75.263	-0.437	-0.436	-0.529	5.915	9.103	5.103	350.014
2019/04/03	01:54	0.718	216.766	9.927	0.009	NaN	75.263	-0.437	-0.436	-0.529	8.631	4.351	7.035	350.014
2019/04/03	01:55	0.848	207.322	9.916	0.171	NaN	75.263	-0.438	-0.436	-0.526	7.671	4.666	7.897	350.014
2019/04/03	01:56	0.690	213.541	9.904	0.174	NaN	75.261	-0.436	-0.434	-0.525	9.102	4.252	6.393	350.014
2019/04/03	01:57	0.822	226.884	9.978	0.028	NaN	75.261	-0.442	-0.435	-0.517	7.659	5.263	7.477	350.014
2019/04/03	01:58	0.881	227.281	10.048	0.017	NaN	75.261	-0.446	-0.438	-0.520	8.678	5.134	9.137	350.014
2019/04/03	01:59	0.570	206.270	10.038	0.000	NaN	75.261	-0.440	-0.438	-0.530	3.311	8.496	7.848	350.014
2019/04/03	02:00	0.353	190.836	9.993	0.000	NaN	75.261	-0.444	-0.438	-0.521	3.908	6.577	10.911	350.014
2019/04/03	02:01	0.275	159.327	9.918	0.000	NaN	75.259	-0.442	-0.438	-0.522	6.474	4.718	6.934	350.014
2019/04/03	02:02	0.292	136.541	9.838	0.000	NaN	75.259	-0.433	-0.435	-0.532	7.800	8.592	1.881	350.014
2019/04/03	02:03	0.340	140.036	9.767	0.000	NaN	75.259	-0.434	-0.435	-0.530	8.541	8.511	5.222	350.014
2019/04/03	02:04	0.311	141.989	9.707	0.000	NaN	75.259	-0.438	-0.436	-0.526	8.441	6.081	7.717	350.014
2019/04/03	02:05	0.287	100.874	9.613	0.000	NaN	75.259	-0.439	-0.436	-0.523	8.592	4.231	7.073	350.014
2019/04/03	02:06	0.464	28.057	9.475	0.000	NaN	75.259	-0.437	-0.436	-0.525	8.576	5.851	5.334	350.014
2019/04/03	02:07	0.475	31.474	9.415	0.000	NaN	75.257	-0.436	-0.435	-0.524	8.602	6.087	10.038	350.014
2019/04/03	02:08	0.429	52.092	9.453	0.000	NaN	75.257	-0.441	-0.435	-0.517	5.902	5.790	8.877	350.014
2019/04/03	02:09	0.428	87.734	9.485	0.000	NaN	75.257	-0.448	-0.439	-0.513	7.716	8.783	4.774	350.014
2019/04/03	02:10	0.417	128.584	9.522	0.000	NaN	75.257	-0.448	-0.441	-0.520	3.816	7.775	4.900	350.014
2019/04/03	02:11	0.387	195.685	9.568	0.000	NaN	75.257	-0.442	-0.439	-0.526	7.825	6.095	6.879	350.014
2019/04/03	02:12	0.404	169.008	9.634	0.000	NaN	75.257	-0.445	-0.438	-0.518	5.918	3.520	6.161	350.014
2019/04/03	02:13	0.423	61.809	9.715	0.000	NaN	75.255	-0.448	-0.439	-0.516	5.143	7.636	5.442	350.014
2019/04/03	02:14	0.277	30.916	9.688	0.000	NaN	75.255	-0.445	-0.440	-0.524	6.948	3.966	8.353	350.014
2019/04/03	02:15	0.221	126.394	9.605	0.000	NaN	75.255	-0.440	-0.437	-0.526	3.620	6.225	9.384	350.014
2019/04/03	02:16	0.419	213.337	9.583	0.000	NaN	75.255	-0.438	-0.435	-0.523	5.736	5.083	7.774	350.014
2019/04/03	02:17	0.483	192.859	9.575	0.000	NaN	75.255	-0.439	-0.436	-0.524	8.033	2.576	9.675	350.014
2019/04/03	02:18	0.269	206.081	9.540	0.000	NaN	75.252	-0.440	-0.436	-0.526	7.104	4.212	8.828	350.014
2019/04/03	02:19	0.425	224.010	9.521	0.000	NaN	75.252	-0.437	-0.435	-0.527	8.283	2.825	8.338	350.014
2019/04/03	02:20	0.604	227.640	9.508	0.000	NaN	75.252	-0.434	-0.433	-0.528	8.225	7.063	3.086	350.014
2019/04/03	02:21	0.519	230.571	9.446	0.000	NaN	75.252	-0.441	-0.434	-0.519	8.419	7.436	7.117	350.014
2019/04/03	02:22	0.649	216.656	9.391	0.000	NaN	75.252	-0.445	-0.436	-0.516	5.725	4.949	4.798	350.014
2019/04/03	02:23	0.812	201.318	9.390	0.000	NaN	75.252	-0.440	-0.437	-0.523	6.252	4.739	6.751	350.014
2019/04/03	02:24	0.579	220.219	9.374	0.000	NaN	75.250	-0.441	-0.435	-0.521	7.662	7.462	6.630	350.014
2019/04/03	02:25	0.335	228.056	9.303	0.000	NaN	75.250	-0.441	-0.435	-0.520	9.605	6.073	5.172	350.014
2019/04/03	02:26	0.307	256.264	9.239	0.000	NaN	75.250	-0.435	-0.434	-0.527	6.468	5.252	5.112	350.014
2019/04/03	02:27	0.278	256.688	9.198	0.000	NaN	75.250	-0.432	-0.434	-0.531	9.858	7.283	4.241	350.014
2019/04/03	02:28	0.269	222.877	9.198	0.000	NaN	75.250	-0.439	-0.436	-0.523	8.011	5.219	8.555	350.014
2019/04/03	02:29	0.292	216.881	9.215	0.000	NaN	75.250	-0.442	-0.437	-0.523	7.423	7.248	2.094	350.014
2019/04/03	02:30	0.259	208.060	9.207	0.000	NaN	75.248	-0.438	-0.437	-0.531	3.860	8.829	5.784	350.014
2019/04/03	02:31	0.229	105.719	9.154	0.000	NaN	75.248	-0.437	-0.436	-0.528	10.460	4.360	5.200	350.014
2019/04/03	02:32	0.286	6.643	9.044	0.000	NaN	75.248	-0.439	-0.441	-0.527	5.748	4.133	7.806	350.014
2019/04/03	02:33	0.313	73.544	8.972	0.000	NaN	75.248	-0.434	-0.440	-0.533	6.464	6.447	2.910	350.014
2019/04/03	02:34	0.337	131.748	9.010	0.000	NaN	75.248	-0.432	-0.435	-0.536	6.550	9.617	3.985	350.014
2019/04/03	02:35	0.435	134.021	9.095	0.000	NaN	75.246	-0.438	-0.435	-0.525	7.231	5.322	6.861	350.014
2019/04/03	02:36	0.330	186.374	9.113	0.000	NaN	75.246	-0.444	-0.435	-0.514	8.237	5.331	5.406	350.014
2019/04/03	02:37	0.252	264.954	9.035	0.000	NaN	75.246	-0.438	-0.435	-0.524	9.252	6.474	5.655	350.014
2019/04/03	02:38	0.452	247.440	9.131	0.000	NaN	75.246	-0.433	-0.434	-0.532	6.410	8.922	5.078	350.014
2019/04/03	02:39	0.406	240.111	9.241	0.000	NaN	75.246	-0.437	-0.435	-0.527	4.800	6.435	6.787	350.014
2019/04/03	02:40	0.341	242.978	9.198	0.000	NaN	75.246	-0.439	-0.435	-0.524	6.936	10.553	7.195	350.014
2019/04/03	02:41	0.545	230.996	9.212	0.000	NaN	75.244	-0.437	-0.435	-0.529	5.927	5.901	6.397	350.014
2019/04/03	02:42	0.524	240.828	9.230	0.000	NaN	75.244	-0.432	-0.433	-0.530	8.407	7.055	4.827	350.014
2019/04/03	02:43	0.401	244.087	9.194	0.000	NaN	75.244	-0.431	-0.432	-0.530	8.599	5.541	5.885	350.014
2019/04/03	02:44	0.448	307.103	9.041	0.000	NaN	75.244	-0.430	-0.433	-0.537	6.813	8.415	3.214	350.014
2019/04/03	02:45	0.503	306.398	8.944	0.000	NaN	75.244	-0.436	-0.435	-0.531	5.459	7.616	5.356	350.014
2019/04/03	02:46	0.496	247.226	9.034	0.000	NaN	75.242	-0.438	-0.435	-0.526	-1.486	7.684	11.480	350.014
2019/04/03	02:47	0.447	233.363	9.143	0.000	NaN	75.242	-0.435	-0.433	-0.526	6.805	8.088	5.106	350.014
2019/04/03	02:48	0.384	239.290	9.208	0.000	NaN	75.242	-0.438	-0.433	-0.524	9.585	7.387	4.574	350.014
2019/04/03	02:49	0.344	265.389	9.200	0.000	NaN	75.242	-0.441	-0.433	-0.521	5.597	7.518	6.219	350.014
2019/04/03	02:50	0.350	288.819	9.136	0.000	NaN	75.242	-0.439	-0.433	-0.522	8.263	7.133	2.212	350.014
2019/04/03	02:51	0.557	259.452	9.213	0.000	NaN	75.242	-0.436	-0.433	-0.526	8.749	6.063	5.635	350.014
2019/04/03	02:52	0.778	238.720	9.410	0.051	NaN	75.240	-0.437	-0.433	-0.526	6.722	7.225	6.846	350.014
2019/04/03	02:53	1.008	264.130	9.466	0.191	NaN	75.240	-0.441	-0.434	-0.521	7.284	8.873	4.893	350.014
